"","likelihood_ratio","likelihood_ratio_anova","decision","sample_size"
"1",21.292601700347,21.292601700347,1,796
"2",19.2727226272973,19.2727226272973,1,1348
"3",19.0195147706252,19.0195147706252,1,1780
"4",0.0419742071897644,0.0419742071897644,0,2316
"5",19.6076919320006,19.6076919320006,1,1452
"6",20.7440451127229,20.7440451127229,1,1280
"7",21.2650893722437,21.2650893722437,1,720
"8",23.6628461731944,23.6628461731944,1,1408
"9",19.0494784222527,19.0494784222527,1,556
"10",22.0632199272793,22.0632199272793,1,560
