"","sex","age","in_debt","monthly_income","whith_children"
"1","1",31.0789408772373,"0",1471,"1"
"2","2",52.6050537235257,"0",5174,"1"
"3","1",59.8108036890257,"0",3736,"0"
"4","2",46.6271171886861,"0",5896,"1"
"5","1",53.3181246027196,"0",1798,"1"
"6","2",64.0820202038435,"1",2204,"1"
"7","1",43.6115255998791,"0",2662,"1"
"8","2",67.224366061172,"0",2348,"0"
"9","1",32.5467159179487,"1",4151,"0"
"10","2",43.8232367303031,"0",736,"0"
"11","1",22.2340788520929,"1",743,"0"
"12","2",57.3300059874397,"1",1511,"1"
"13","1",57.5053685566984,"0",2248,"1"
"14","2",61.4557449579742,"0",3294,"1"
"15","1",80.7368065327417,"0",1421,"0"
"16","2",38.2709946146102,"0",5385,"0"
"17","1",69.6020755236367,"0",4189,"1"
"18","2",38.6246552200656,"1",1273,"0"
"19","1",49.6735200973197,"1",4386,"1"
"20","2",38.0183462401462,"0",1946,"1"
"21","1",37.0885097595801,"0",3941,"0"
"22","2",41.5415214012814,"1",1442,"0"
"23","1",32.2493924333665,"0",1435,"0"
"24","2",32.1094944888511,"0",1023,"0"
"25","1",33.7891730313895,"1",4789,"1"
"26","2",55.5925575179819,"0",3945,"0"
"27","1",33.3025868321249,"0",5197,"0"
"28","2",52.584042831073,"0",1306,"0"
"29","1",25.0413485635513,"0",2073,"0"
"30","2",37.3487983161217,"0",4761,"1"
